RELEASE,FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,16,04/01/2021,04/30/2021,16.199376947,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,16,04/01/2021,04/30/2021,31.360946746,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,17,05/01/2021,05/31/2021,11.998114245,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,17,05/01/2021,05/31/2021,16.843345112,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,17,05/01/2021,05/31/2021,24.747474747,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,17,05/01/2021,05/31/2021,15.351812367,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,17,05/01/2021,05/31/2021,25.675675676,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,18,06/01/2021,06/30/2021,13.265385513,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,18,06/01/2021,06/30/2021,18.798665184,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,18,06/01/2021,06/30/2021,27.303754266,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,18,06/01/2021,06/30/2021,15.843621399,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,18,06/01/2021,06/30/2021,25.683060109,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,19,07/01/2021,07/31/2021,12.156710628,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,19,07/01/2021,07/31/2021,18.38150289,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,19,07/01/2021,07/31/2021,23.949044586,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,19,07/01/2021,07/31/2021,19.661016949,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,19,07/01/2021,07/31/2021,26.543209877,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,20,08/01/2021,08/31/2021,12.159525482,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,20,08/01/2021,08/31/2021,19.075829384,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,20,08/01/2021,08/31/2021,27.656675749,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,20,08/01/2021,08/31/2021,18.093922652,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,20,08/01/2021,08/31/2021,27.878787879,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,21,09/01/2021,09/30/2021,11.889208257,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,21,09/01/2021,09/30/2021,20.199501247,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,21,09/01/2021,09/30/2021,27.053824363,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,21,09/01/2021,09/30/2021,18.61575179,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,21,09/01/2021,09/30/2021,24.817518248,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,22,10/01/2021,10/31/2021,11.984792189,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,22,10/01/2021,10/31/2021,23.238566131,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,22,10/01/2021,10/31/2021,28.811188811,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,22,10/01/2021,10/31/2021,24.074074074,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,22,10/01/2021,10/31/2021,34,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,23,11/01/2021,11/30/2021,11.311125545,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,23,11/01/2021,11/30/2021,18.649045521,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,23,11/01/2021,11/30/2021,24.592833876,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,23,11/01/2021,11/30/2021,21.751412429,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,23,11/01/2021,11/30/2021,25.409836066,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,24,12/01/2021,12/31/2021,10.021417098,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,24,12/01/2021,12/31/2021,22.061482821,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,24,12/01/2021,12/31/2021,29.94011976,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,24,12/01/2021,12/31/2021,23.753665689,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,24,12/01/2021,12/31/2021,27.368421053,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,25,01/01/2022,01/31/2022,9.763608369,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,25,01/01/2022,01/31/2022,21.917808219,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,25,01/01/2022,01/31/2022,31.749460043,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,25,01/01/2022,01/31/2022,18.975903614,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,25,01/01/2022,01/31/2022,33.050847458,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,26,02/01/2022,02/28/2022,11.167033658,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,26,02/01/2022,02/28/2022,25,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,26,02/01/2022,02/28/2022,32.956685499,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,26,02/01/2022,02/28/2022,23.235294118,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,26,02/01/2022,02/28/2022,35.714285714,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,27,03/01/2022,03/31/2022,10.616656071,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,27,03/01/2022,03/31/2022,20.855614973,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,27,03/01/2022,03/31/2022,32.251521298,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,27,03/01/2022,03/31/2022,20.424403183,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,27,03/01/2022,03/31/2022,37.974683544,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,28,04/01/2022,04/30/2022,11.329955063,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,28,04/01/2022,04/30/2022,20.463320463,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,28,04/01/2022,04/30/2022,29.713114754,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,28,04/01/2022,04/30/2022,19.384615385,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,28,04/01/2022,04/30/2022,26.666666667,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,29,05/01/2022,05/31/2022,10.366677932,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,29,05/01/2022,05/31/2022,23.557692308,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,29,05/01/2022,05/31/2022,30.086956522,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,29,05/01/2022,05/31/2022,23.684210526,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,29,05/01/2022,05/31/2022,42.105263158,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,30,06/01/2022,06/30/2022,10.771588246,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,30,06/01/2022,06/30/2022,21.693121693,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,30,06/01/2022,06/30/2022,31.762652705,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,30,06/01/2022,06/30/2022,23.780487805,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,30,06/01/2022,06/30/2022,31.343283582,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,31,07/01/2022,07/31/2022,10.716753022,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,31,07/01/2022,07/31/2022,19.254658385,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,31,07/01/2022,07/31/2022,32.661290323,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,31,07/01/2022,07/31/2022,25.212464589,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,31,07/01/2022,07/31/2022,24.528301887,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,32,08/01/2022,08/31/2022,10.447890496,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,32,08/01/2022,08/31/2022,20.158730159,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,32,08/01/2022,08/31/2022,30.95684803,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,32,08/01/2022,08/31/2022,18.832891247,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,32,08/01/2022,08/31/2022,39.325842697,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,33,09/01/2022,09/30/2022,9.88631196,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,33,09/01/2022,09/30/2022,17.816091954,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,33,09/01/2022,09/30/2022,31.728665208,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,33,09/01/2022,09/30/2022,24.645892351,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,33,09/01/2022,09/30/2022,34.722222222,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,34,10/01/2022,10/31/2022,10.094003833,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,34,10/01/2022,10/31/2022,23.154362416,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,34,10/01/2022,10/31/2022,32.043010753,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,34,10/01/2022,10/31/2022,20.34261242,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,34,10/01/2022,10/31/2022,35.802469136,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,35-54 Years,35,11/01/2022,11/30/2022,9.2127879,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,35-54 Years,35,11/01/2022,11/30/2022,19.795918367,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,35-54 Years,35,11/01/2022,11/30/2022,31.632653061,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,35-54 Years,35,11/01/2022,11/30/2022,18.100890208,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,35-54 Years,35,11/01/2022,11/30/2022,27.659574468,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,1,01/01/2020,01/31/2020,6.845824163,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,1,01/01/2020,01/31/2020,19.85645933,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,1,01/01/2020,01/31/2020,25.762711864,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,1,01/01/2020,01/31/2020,14.536340852,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,1,01/01/2020,01/31/2020,40.697674419,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,2,02/01/2020,02/29/2020,7.056627256,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,2,02/01/2020,02/29/2020,17.692307692,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,2,02/01/2020,02/29/2020,27.156549521,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,2,02/01/2020,02/29/2020,15.340909091,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,2,02/01/2020,02/29/2020,43.023255814,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,3,03/01/2020,03/31/2020,6.875868627,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,3,03/01/2020,03/31/2020,14.641744548,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,3,03/01/2020,03/31/2020,20.401337793,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,3,03/01/2020,03/31/2020,12.177121771,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,3,03/01/2020,03/31/2020,23,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,4,04/01/2020,04/30/2020,7.630789737,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,4,04/01/2020,04/30/2020,11.914893617,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,4,04/01/2020,04/30/2020,27.450980392,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,4,04/01/2020,04/30/2020,15.517241379,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,4,04/01/2020,04/30/2020,29.577464789,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,5,05/01/2020,05/31/2020,7.150632169,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,5,05/01/2020,05/31/2020,17.222222222,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,5,05/01/2020,05/31/2020,27.931034483,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,5,05/01/2020,05/31/2020,17.021276596,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,5,05/01/2020,05/31/2020,25.301204819,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,6,06/01/2020,06/30/2020,7.037008891,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,6,06/01/2020,06/30/2020,16.991643454,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,6,06/01/2020,06/30/2020,23.93442623,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,6,06/01/2020,06/30/2020,14.240506329,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,6,06/01/2020,06/30/2020,27.368421053,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,7,07/01/2020,07/31/2020,6.641021919,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,7,07/01/2020,07/31/2020,13.97260274,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,7,07/01/2020,07/31/2020,14.393939394,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,7,07/01/2020,07/31/2020,12.765957447,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,7,07/01/2020,07/31/2020,21.176470588,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,8,08/01/2020,08/31/2020,7.446193847,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,8,08/01/2020,08/31/2020,15.267175573,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,8,08/01/2020,08/31/2020,19.343065693,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,8,08/01/2020,08/31/2020,18.068535826,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,8,08/01/2020,08/31/2020,20.930232558,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,9,09/01/2020,09/30/2020,6.915430053,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,9,09/01/2020,09/30/2020,15.223097113,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,9,09/01/2020,09/30/2020,23.144104803,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,9,09/01/2020,09/30/2020,14.827586207,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,9,09/01/2020,09/30/2020,22.619047619,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,10,10/01/2020,10/31/2020,6.517563117,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,10,10/01/2020,10/31/2020,9.885057471,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,10,10/01/2020,10/31/2020,17.667844523,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,10,10/01/2020,10/31/2020,12.987012987,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,10,10/01/2020,10/31/2020,12.844036697,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,11,11/01/2020,11/30/2020,6.406624537,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,11,11/01/2020,11/30/2020,12.33933162,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,11,11/01/2020,11/30/2020,16.228070175,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,11,11/01/2020,11/30/2020,9.122807018,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,11,11/01/2020,11/30/2020,16.494845361,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,12,12/01/2020,12/31/2020,5.588359342,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,12,12/01/2020,12/31/2020,12.371134021,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,12,12/01/2020,12/31/2020,20.577617329,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,12,12/01/2020,12/31/2020,13.946587537,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,12,12/01/2020,12/31/2020,11.494252874,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,13,01/01/2021,01/31/2021,6.289686518,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,13,01/01/2021,01/31/2021,11.529411765,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,13,01/01/2021,01/31/2021,18.707482993,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,13,01/01/2021,01/31/2021,14.328358209,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,13,01/01/2021,01/31/2021,18.4,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,14,02/01/2021,02/28/2021,6.283068783,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,14,02/01/2021,02/28/2021,13.020833333,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,14,02/01/2021,02/28/2021,17.164179104,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,14,02/01/2021,02/28/2021,13.58490566,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,14,02/01/2021,02/28/2021,22.352941176,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,15,03/01/2021,03/31/2021,6.334784529,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,15,03/01/2021,03/31/2021,11.415525114,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,15,03/01/2021,03/31/2021,18.73015873,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,15,03/01/2021,03/31/2021,13.165266106,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,15,03/01/2021,03/31/2021,25.274725275,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,16,04/01/2021,04/30/2021,5.87070832,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,16,04/01/2021,04/30/2021,12.596401028,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,16,04/01/2021,04/30/2021,17.777777778,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,16,04/01/2021,04/30/2021,8.831908832,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,16,04/01/2021,04/30/2021,11.578947368,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,17,05/01/2021,05/31/2021,5.802167074,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,17,05/01/2021,05/31/2021,11.787819253,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,17,05/01/2021,05/31/2021,17.404129794,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,17,05/01/2021,05/31/2021,11.436170213,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,17,05/01/2021,05/31/2021,12.5,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,18,06/01/2021,06/30/2021,5.626050177,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,18,06/01/2021,06/30/2021,11.235955056,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,18,06/01/2021,06/30/2021,15.430267062,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,18,06/01/2021,06/30/2021,14.402173913,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,18,06/01/2021,06/30/2021,13.333333333,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,19,07/01/2021,07/31/2021,5.59488862,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,19,07/01/2021,07/31/2021,10.424710425,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,19,07/01/2021,07/31/2021,18.439716312,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,19,07/01/2021,07/31/2021,11.403508772,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,19,07/01/2021,07/31/2021,20.689655172,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,20,08/01/2021,08/31/2021,5.669978192,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,20,08/01/2021,08/31/2021,7.933579336,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,20,08/01/2021,08/31/2021,20.938628159,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,20,08/01/2021,08/31/2021,16.728624535,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,20,08/01/2021,08/31/2021,16.161616162,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,21,09/01/2021,09/30/2021,5.60015538,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,21,09/01/2021,09/30/2021,11.37254902,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,21,09/01/2021,09/30/2021,16.666666667,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,21,09/01/2021,09/30/2021,14.788732394,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,21,09/01/2021,09/30/2021,23.076923077,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,22,10/01/2021,10/31/2021,5.199285406,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,22,10/01/2021,10/31/2021,12.86407767,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,22,10/01/2021,10/31/2021,21.785714286,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,22,10/01/2021,10/31/2021,15.789473684,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,22,10/01/2021,10/31/2021,23.943661972,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,23,11/01/2021,11/30/2021,4.97749364,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,23,11/01/2021,11/30/2021,12.433862434,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,23,11/01/2021,11/30/2021,22.268907563,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,23,11/01/2021,11/30/2021,15.942028986,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,23,11/01/2021,11/30/2021,21.875,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,24,12/01/2021,12/31/2021,4.537332482,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,24,12/01/2021,12/31/2021,10.846560847,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,24,12/01/2021,12/31/2021,20.408163265,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,24,12/01/2021,12/31/2021,18.965517241,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,24,12/01/2021,12/31/2021,23.076923077,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,25,01/01/2022,01/31/2022,4.088029343,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,25,01/01/2022,01/31/2022,7.831325301,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,25,01/01/2022,01/31/2022,25.396825397,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,25,01/01/2022,01/31/2022,22.549019608,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,25,01/01/2022,01/31/2022,32.727272727,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,26,02/01/2022,02/28/2022,4.002550298,Percent
5 2022,3,ED,All Opioids and co-occurring disorders,Age,55+ Years,26,02/01/2022,02/28/2022,11.232876712,Percent
5 2022,3,ED,Stimulants and co-occurring disorders,Age,55+ Years,26,02/01/2022,02/28/2022,27.918781726,Percent
5 2022,3,ED,Cannabis and co-occurring disorders,Age,55+ Years,26,02/01/2022,02/28/2022,15.573770492,Percent
5 2022,3,ED,Benzodiazepine and co-occurring disorders,Age,55+ Years,26,02/01/2022,02/28/2022,20.930232558,Percent
5 2022,3,ED,All Drugs and co-occurring disorders,Age,55+ Years,27,03/01/2022,03/31/2022,4.49168207,Percent
